date,number_commits
2014-11-06T22:50:01Z,1
2014-11-06T23:13:30Z,1
2014-11-06T23:16:36Z,1
2014-11-07T00:15:14Z,1
2014-11-07T01:07:24Z,1
2014-11-07T01:08:01Z,1
2014-11-07T01:08:20Z,1
2014-11-07T01:08:54Z,1
2014-11-07T01:18:40Z,1
2014-11-07T01:27:01Z,1
2014-11-07T02:16:01Z,1
2014-11-07T05:46:35Z,1
2014-11-07T12:35:16Z,1
2014-11-07T17:57:50Z,1
2014-11-07T18:02:36Z,1
2014-11-07T18:04:26Z,1
2014-11-07T18:06:46Z,1
2014-11-07T18:17:09Z,1
2014-11-07T18:29:06Z,1
2014-11-07T18:29:26Z,1
2014-11-07T18:30:11Z,1
2014-11-07T18:34:28Z,1
2014-11-07T18:40:46Z,1
2014-11-07T18:42:28Z,1
2014-11-07T18:49:10Z,1
2014-11-07T18:54:10Z,1
2014-11-07T18:56:49Z,1
2014-11-07T19:01:46Z,1
2014-11-07T19:08:23Z,1
2014-11-07T19:09:57Z,1
2014-11-07T19:11:12Z,1
2014-11-07T19:14:46Z,1
2014-11-07T19:19:32Z,1
2014-11-07T19:43:53Z,1
2014-11-07T20:04:09Z,1
2014-11-07T21:44:56Z,1
2014-11-07T22:26:03Z,1
2014-11-08T00:03:22Z,1
2014-11-10T17:06:07Z,1
2014-11-10T18:06:01Z,1
2014-11-10T19:37:27Z,1
2014-11-10T20:19:04Z,1
2014-11-10T20:49:54Z,1
2014-11-10T20:52:36Z,1
2014-11-10T20:54:48Z,1
2014-11-10T20:55:08Z,1
2014-11-10T21:42:06Z,1
2014-11-10T21:42:26Z,1
2014-11-10T21:48:21Z,1
2014-11-10T21:58:23Z,1
2014-11-10T22:04:37Z,1
2014-11-10T22:09:00Z,1
2014-11-10T22:21:56Z,1
2014-11-10T22:52:10Z,1
2014-11-10T23:14:45Z,1
2014-11-10T23:17:26Z,1
2014-11-10T23:26:09Z,1
2014-11-10T23:34:49Z,1
2014-11-10T23:40:54Z,1
2014-11-10T23:40:57Z,1
2014-11-11T00:15:28Z,1
2014-11-11T00:24:46Z,1
