id,created_at,closed_at
1258633339,2023-03-01T11:07:30Z,2023-03-01T12:30:05Z
1258508202,2023-03-01T09:44:43Z,2023-03-01T10:17:56Z
1258367923,2023-03-01T08:00:03Z,2023-03-09T20:14:49Z
1255502861,2023-02-27T13:45:46Z,2023-03-01T10:20:19Z
1254615417,2023-02-26T21:55:44Z,2023-02-27T12:38:19Z
1254493101,2023-02-26T13:38:47Z,2023-02-26T18:27:58Z
1254489715,2023-02-26T13:25:16Z,2023-05-16T09:10:40Z
1254120204,2023-02-25T07:39:18Z,2023-03-02T00:37:28Z
1252827553,2023-02-24T08:16:25Z,2023-02-24T08:49:27Z
1251831623,2023-02-23T14:58:24Z,2023-02-23T17:14:45Z
1251315601,2023-02-23T08:40:31Z,2023-02-23T08:43:33Z
1251313974,2023-02-23T08:38:56Z,2023-02-23T08:43:29Z
1248884188,2023-02-21T15:17:51Z,2023-02-23T14:49:48Z
1248490210,2023-02-21T10:21:53Z,2023-02-23T08:56:34Z
1248440830,2023-02-21T09:46:06Z,2023-02-22T12:21:35Z
1248428866,2023-02-21T09:36:13Z,2023-02-22T12:21:54Z
1247376070,2023-02-20T14:08:46Z,2023-11-19T20:25:29Z
1247318121,2023-02-20T13:22:49Z,2023-02-20T20:31:55Z
1247218203,2023-02-20T12:20:43Z,2023-03-03T15:41:08Z
1246116517,2023-02-18T19:51:14Z,2023-02-18T20:35:05Z
1245309788,2023-02-17T15:03:48Z,2023-03-01T10:31:30Z
1243557940,2023-02-16T11:39:14Z,2024-01-08T11:54:23Z
1241225010,2023-02-14T21:53:58Z,2023-02-17T20:27:24Z
1239527882,2023-02-13T19:50:35Z,2023-03-07T17:12:30Z
1236266420,2023-02-10T08:09:03Z,2023-02-17T20:03:09Z
1235795301,2023-02-09T21:48:08Z,2023-02-15T07:49:39Z
1235299225,2023-02-09T15:25:47Z,
1235234351,2023-02-09T14:47:41Z,2023-03-09T20:14:21Z
1234700826,2023-02-09T08:04:44Z,2023-02-20T20:31:16Z
1233981992,2023-02-08T18:30:30Z,2023-02-09T19:00:31Z
1233981172,2023-02-08T18:29:37Z,2023-02-08T18:29:58Z
1233919637,2023-02-08T17:35:27Z,2023-02-09T17:48:54Z
1233702446,2023-02-08T15:08:46Z,2023-02-23T08:50:58Z
