timestamp,project,commits_per_14days
2022-07-13,flink,130
2022-07-27,flink,249
2022-08-10,flink,132
2022-08-24,flink,120
2022-09-07,flink,249
2022-09-21,flink,96
2022-10-05,flink,165
2022-10-19,flink,157
2022-11-02,flink,145
2022-11-16,flink,108
2022-11-30,flink,99
2022-12-14,flink,71
2022-12-28,flink,97
2023-01-11,flink,114
2023-01-25,flink,168
2023-02-08,flink,177
2023-02-22,flink,160
2023-03-08,flink,155
2023-03-22,flink,135
2023-04-05,flink,70
2023-04-19,flink,112
2023-05-03,flink,120
2023-05-17,flink,91
2023-05-31,flink,114
2023-06-14,flink,107
2023-06-28,flink,163
2023-07-12,flink,126
2023-07-26,flink,74
2023-08-09,flink,68
2023-08-23,flink,145
2023-09-06,flink,92
2023-09-20,flink,44
2023-10-04,flink,41
2023-10-18,flink,85
2023-11-01,flink,86
2023-11-15,flink,140
2023-11-29,flink,130
2023-12-13,flink,79
2023-12-27,flink,59
2024-01-10,flink,110
2006-01-27,hadoop,37
2006-02-10,hadoop,16
2006-02-24,hadoop,31
2006-03-10,hadoop,28
2006-03-24,hadoop,33
2006-04-07,hadoop,30
2006-04-21,hadoop,38
2006-05-05,hadoop,28
2006-05-19,hadoop,23
2006-06-02,hadoop,38
2006-06-16,hadoop,29
2006-06-30,hadoop,10
2006-07-14,hadoop,35
2006-07-28,hadoop,32
2006-08-11,hadoop,15
2006-08-25,hadoop,23
2006-09-08,hadoop,38
2006-09-22,hadoop,21
2006-10-06,hadoop,24
2006-10-20,hadoop,32
2006-11-03,hadoop,35
2006-11-17,hadoop,19
2006-12-01,hadoop,41
2006-12-15,hadoop,21
2006-12-29,hadoop,36
2007-01-12,hadoop,27
2007-01-26,hadoop,44
2007-02-09,hadoop,46
2007-02-23,hadoop,43
2007-03-09,hadoop,23
2007-03-23,hadoop,58
2007-04-06,hadoop,50
2007-04-20,hadoop,29
2007-05-04,hadoop,49
2007-05-18,hadoop,64
2007-06-01,hadoop,47
2007-06-15,hadoop,58
2007-06-29,hadoop,55
2007-07-13,hadoop,77
2007-07-27,hadoop,41
2007-08-10,hadoop,97
2007-08-24,hadoop,80
2007-09-07,hadoop,79
2007-09-21,hadoop,75
2007-10-05,hadoop,95
2007-10-19,hadoop,61
2007-11-02,hadoop,54
2007-11-16,hadoop,73
2007-11-30,hadoop,115
2007-12-14,hadoop,65
2007-12-28,hadoop,85
2008-01-11,hadoop,178
2008-01-25,hadoop,126
2008-02-08,hadoop,103
2008-02-22,hadoop,84
2008-03-07,hadoop,103
2008-03-21,hadoop,119
2008-04-04,hadoop,145
2008-04-18,hadoop,75
2008-05-02,hadoop,86
2008-05-16,hadoop,59
2008-05-30,hadoop,155
2008-06-13,hadoop,140
2008-06-27,hadoop,123
2008-07-11,hadoop,130
2008-07-25,hadoop,74
2008-08-08,hadoop,99
2008-08-22,hadoop,74
2008-09-05,hadoop,106
2008-09-19,hadoop,146
2008-10-03,hadoop,128
2008-10-17,hadoop,148
2008-10-31,hadoop,106
2008-11-14,hadoop,88
2008-11-28,hadoop,135
2008-12-12,hadoop,142
2008-12-26,hadoop,99
2009-01-09,hadoop,111
2009-01-23,hadoop,83
2009-02-06,hadoop,88
2009-02-20,hadoop,137
2009-03-06,hadoop,171
2009-03-20,hadoop,114
2009-04-03,hadoop,59
2009-04-17,hadoop,78
2009-05-01,hadoop,130
2009-05-15,hadoop,120
2009-05-29,hadoop,122
2009-06-12,hadoop,206
2009-06-26,hadoop,110
